movie_title,hero_gender,hero_gender2,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
The Rescue,male,1,5-Aug-88,Action,,"$5,855,392 ","$12,009,960 "
Heartbreak Hotel,female,2,30-Sep-88,Comedy,,"$5,509,417 ","$11,300,331 "
The Good Mother,female,2,4-Nov-88,Drama,,"$4,764,606 ","$9,772,655 "
Ernest Saves Christmas,male,1,11-Nov-88,Comedy,PG,"$28,202,109 ","$57,845,202 "
Oliver & Company,male,1,18-Nov-88,Adventure,G,"$49,576,671 ","$102,254,492 "
Beaches,female,2,21-Dec-88,Drama,PG-13,"$57,041,866 ","$120,381,757 "
Three Fugitives,male,1,27-Jan-89,Comedy,PG-13,"$40,590,000 ","$85,757,817 "
New York Stories,male,1,1-Mar-89,Drama,PG,"$10,763,469 ","$22,740,861 "
Disorganized Crime,male,1,14-Apr-89,Comedy,,"$7,210,149 ","$15,233,465 "
Dead Poets Society,male,1,2-Jun-89,Drama,PG,"$95,860,116 ","$202,531,517 "
"Honey, I Shrunk the Kids",male,1,23-Jun-89,Adventure,PG,"$130,724,172 ","$276,191,669 "
Turner & Hooch,male,1,28-Jul-89,Comedy,PG,"$71,079,915 ","$150,176,361 "
Cheetah,male,1,18-Aug-89,Adventure,,"$7,882,250 ","$16,653,473 "
An Innocent Man,male,1,6-Oct-89,Drama,R,"$19,397,847 ","$40,983,414 "
Gross Anatomy,female,2,20-Oct-89,Drama,PG-13,"$11,346,186 ","$23,972,012 "
The Little Mermaid,female,2,15-Nov-89,Adventure,G,"$111,543,479 ","$223,726,012 "
Blaze,male,1,13-Dec-89,Drama,R,"$19,049,727 ","$39,884,640 "
Stella,female,2,2-Feb-90,Drama,PG-13,"$20,062,347 ","$40,077,147 "
Where the Heart Is,female,2,23-Feb-90,Comedy,,"$1,106,475 ","$2,210,321 "
Pretty Woman,female,2,23-Mar-90,Romantic Comedy,R,"$178,406,268 ","$356,389,765 "
Ernest Goes to Jail,male,1,6-Apr-90,Comedy,PG,"$25,029,569 ","$49,999,822 "
Spaced Invaders,male,1,27-Apr-90,Comedy,PG,"$15,000,000 ","$29,964,452 "
Fire Birds,male,1,24-May-90,Action,PG-13,"$14,760,451 ","$29,485,923 "
Dick Tracy,male,1,15-Jun-90,Action,PG,"$103,738,726 ","$207,231,621 "
